,,,
category,difficulty,summary,description
,,,
travel,m,airport confiscate,Someone has something confiscated at security
travel,h,bell no passport,A Bell forgets their passport for the way back
travel,e,bell passport,A Bell doesn't forget their passport on the way back
travel,m,no swimsuit,Someone forgets their swimsuit
travel,m,wrong train,We take the wrong train
,,,
challenge,e,hug,Hug 
challenge,e,hug,Hug 
challenge,e,hug,Hug 
challenge,n,hug,Hug 
challenge,n,hug,Hug 
challenge,e,fistbump,Fistbump 
challenge,e,fistbump,Fistbump 
challenge,e,fistbump,Fistbump 
challenge,na,fistbump,Fistbump 
challenge,na,fistbump,Fistbump 
challenge,h,funny meme,You make a meme which someone laughs out loud to when they first see it
,,,
,,,
,,,
