,,,
Category,difficulty,summary,description
,,,
travel,m,airport confiscate,Someone has something confiscated at security
travel,m,airport pat down,Someone gets a pat down
travel,e,flight delay,Flight is delayed
travel,e,flight on time,Flight is on time
travel,h,throw up,Someone throws up
travel,e,no throw up,No one throws up
travel,h,bell no passport,A Bell forgets their passport for the way back
travel,e,bell passport,A Bell doesn't forget their passport on the way back
travel,m,no swimsuit,Someone forgets their swimsuit
travel,m,wrong train,We take the wrong train
,,,
park,m,rains,It rains every day that we’re at Europapark (parks?)
park,m,no rain,It doesn’t rain every day that we’re at Europapark (parks?)
park,m,some rain,It rains one day we're at europapark
park,e,jersey pic,We get a jersey picture
park,dupl,2 jersey pic,We get 2 jersey pics (blue and white)
park,m,no jersey,Someone forgets their jersey
park,h,broken riding,A rollercoaster breaks down while we’re on it
park,m,broken pre-queue,A roller coaster breaks down before we go in the queue
park,h,broken queue,A roller coaster breaks down while we're in the queue
park,m,open to close,We’re in the park from open till close (gotta figure out how many times/for what parks)
park,m,lost person,Someone gets lost
park,h,hurt person,Someone ends up in first aid
park,h,no lost,No one gets lost for more than a couple of mins
park,m,ben no merch,Ben doesn't buy any merch on the first day (? Europapark Merch is still p cool)
park,m,ben merch,Ben buys merch on the first day
park,m,queue jumped,Someone gets queue jumped
park,h,blister,Someone gets a blister on day 1
park,h,crying ride pic,Someone's crying in a ride photo
,,,
life,e,maccies,We go to maccies
life,h,no maccies,We don't go to maccies
life,m,schnitzel,Someone eats a schnitzel or veggie equivalent
life,h,sauerkraut,Someone eats Sauerkraut
life,h,faceplant,Someone faceplants (anywhere)
life,h,banana fall,Someone banana peel falls
life,h,scam,Someone gets scammed
life,h,ill,Someone gets sick (ill)
life,h,heat stroke,Someone gets heat exhaustion/heat stroke
life,h,faints,Someone faints
life,e,ben fruit,Ben eats a fruit/vegetable
life,h,jersey question,Someone asks us about our jerseys
life,e,sarah german,Sarah orders something successfully in German
life,e,jason german,Jason orders something successfully in German
life,h,someone german,Someone who didn't learn German orders something successfully in German
life,h,romance,Holiday romance
life,h,noise complaint,We get a noise complaint
life,h,forget key,Someone forgets to hand in a key
,,,
challenge,ALL m,jersey num,You take a picture while wearing your jersey with something that has your jersey number on
challenge,m,pet dog,You pet a dog
challenge,m,,You buy something speaking entirely in German
challenge,e,pose,You pose on a ride photo
challenge,e,hug,Hug “Ed Euromaus” aka Fake Mickey
challenge,e,hug,Hug “Edda Euromausi” aka Fake Minnie
challenge,dupl,hug,Hug “Edda Euromausi” aka Fake No one
challenge,dupl,hug,Hug “Edda Euromausi” aka Fake No one
challenge,dupl,hug,Hug “Edda Euromausi” aka Fake No one
,,,
,,,
challenge,e,fistbump,Fist bump Fake Mickey
challenge,e,fistbump,Fist bump Fake Minnie
challenge,dupl,fistbump,Fist bump Fake No one
challenge,dupl,fistbump,Fist bump Fake No one
challenge,dupl,fistbump,Fist bump Fake No one
,,,
,,,
challenge,m,other,Hug another character (might not exffist)
challenge,duple,other,Fist bump another character (gl anyway)
challenge,h,funny meme,You make a meme which someone laughs out loud to when they first see it
,,,
SPLITHERE,,,
,,,
,E,M,H
COUNTS,17,20,22
,,,
,,,
Characters:,"[
  `“Ed Euromaus” aka Fake Mickey`,
  `“Edda Euromausi” aka Fake Minnie`,
  `“Louis” (ngl not sure who this is look here mb)`,
  `“Böckli” (see above comment)`,
  `“Europhant” (imma guess that's the elephant but who knows tbh) aka Fake Dumb`,
];",,
